feature,family,plcc,srcc,abs_plcc,abs_srcc
mean_features,Mean,0.7563426294215594,0.7904347826086956,0.7563426294215594,0.7904347826086956
musiq,NR,0.7385710911410471,0.7478260869565216,0.7385710911410471,0.7478260869565216
resnet_pca_001,ResNet,-0.6061298140334072,-0.5791304347826086,0.6061298140334072,0.5791304347826086
unique,NR,0.47540336164662006,0.5313043478260869,0.47540336164662006,0.5313043478260869
vgg_pca_000,VGG,-0.4225206957651877,-0.47130434782608693,0.4225206957651877,0.47130434782608693
median_features,Median,0.5396847989380175,0.47043478260869553,0.5396847989380175,0.47043478260869553
arniqa,NR,0.5416696528055335,0.4669565217391304,0.5416696528055335,0.4669565217391304
resnet_pca_003,ResNet,0.4371350626430047,0.40956521739130425,0.4371350626430047,0.40956521739130425
paq2piq,NR,0.4176760541234806,0.3921739130434782,0.4176760541234806,0.3921739130434782
vgg_pca_001,VGG,0.3934510583722592,0.368695652173913,0.3934510583722592,0.368695652173913
pieapp_rlfn,FR,0.38001269787976266,0.36695652173913035,0.38001269787976266,0.36695652173913035
max,Stats,0.23037915778749252,0.31565217391304345,0.23037915778749252,0.31565217391304345
vgg_pca_003,VGG,0.3022155471314844,0.24086956521739128,0.3022155471314844,0.24086956521739128
resnet_pca_000,ResNet,0.1663132749462552,0.21565217391304345,0.1663132749462552,0.21565217391304345
stlpips-vgg_rlfn,FR,0.14506043768550647,0.20869565217391303,0.14506043768550647,0.20869565217391303
median,Stats,0.13550278267540225,0.19913043478260867,0.13550278267540225,0.19913043478260867
lpips-vgg_rlfn,FR,0.16898834218579242,0.17478260869565218,0.16898834218579242,0.17478260869565218
area00,Stats,0.36172243543825533,0.17423746913960242,0.36172243543825533,0.17423746913960242
std,Stats,0.1532466648525223,0.1678260869565217,0.1532466648525223,0.1678260869565217
vgg_pca_004,VGG,0.1916593953779676,0.1652173913043478,0.1916593953779676,0.1652173913043478
ssim_rlfn,FR,-0.06039385175682749,-0.13304347826086957,0.06039385175682749,0.13304347826086957
vgg_pca_002,VGG,0.08289603348658019,0.13043478260869562,0.08289603348658019,0.13043478260869562
ahiq_rlfn,FR,-0.11020850699374014,-0.09043478260869564,0.11020850699374014,0.09043478260869564
resnet_pca_004,ResNet,0.017814758108912202,0.08,0.017814758108912202,0.08
resnet_pca_002,ResNet,-0.03930295956555661,-0.03913043478260869,0.03930295956555661,0.03913043478260869
psnr_rlfn,FR,0.12388840248964689,0.02695652173913043,0.12388840248964689,0.02695652173913043
